asset_id,asset_name,symbol,gecko_id,pegType,pegMechanism,current_circulating,price,% Off Peg,market_cap,total_volume,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,market_cap_percentage
1,Tether,USDT,tether,peggedUSD,fiat-backed,86624875617.35393,1.001,0.0009999999999998899,86711500492.97127,31106406842.0,1.32,-24.34933,2018-07-24T00:00:00.000Z,0.572521,74.82859,2015-03-02T00:00:00.000Z,0.6964974070969651
2,USD Coin,USDC,usd-coin,peggedUSD,fiat-backed,23450116950.12486,1.0,0.0,23450116950.12486,12268466785.0,1.17,-14.61564,2019-05-08T00:40:28.300Z,0.877647,14.09006,2023-03-11T08:02:13.981Z,0.18835962426006553
3,TerraClassicUSD,USTC,terrausd,peggedUSD,algorithmic,9790242409.246904,0.01544945,-0.98455055,151253860.5895396,60248552.0,1.092,-98.5459,2021-01-11T22:30:57.984Z,0.00601921,163.77903,2022-06-18T20:35:39.169Z,0.0012149244461818478
4,Binance USD,BUSD,binance-usd,peggedUSD,fiat-backed,1885704042.05,0.999456,-0.0005439999999999889,1884678219.0511248,5515144629.0,1.15,-13.19816,2020-03-13T02:35:42.953Z,0.901127,11.17967,2021-05-19T13:04:37.445Z,0.015138401311457389
5,Dai,DAI,dai,peggedUSD,crypto-backed,5258702782.6893,0.999975,-2.5000000000052758e-05,5258571315.119732,225467541.0,1.22,-17.87375,2020-03-13T03:02:50.373Z,0.88196,13.50425,2023-03-11T07:50:50.514Z,0.042238702654122044
6,Frax,FRAX,frax,peggedUSD,algorithmic,671723780.5594406,0.996503,-0.0034969999999999724,669374762.4988242,23948931.0,1.14,-12.44362,2021-02-07T12:55:35.766Z,0.874536,14.1791,2023-03-11T07:50:39.316Z,0.005376654582218525
7,TrueUSD,TUSD,true-usd,peggedUSD,fiat-backed,3308794278.1199994,0.998548,-0.0014520000000000088,3303989908.8281693,286958303.0,1.62,-38.15696,2018-08-26T20:41:09.375Z,0.88355,13.2859,2020-03-12T10:47:51.380Z,0.026538814245982194
8,Liquity USD,LUSD,liquity-usd,peggedUSD,crypto-backed,210976016.67484596,0.997802,-0.0021980000000000333,210512291.39019465,6863301.0,1.16,-13.75865,2021-04-05T14:47:52.665Z,0.896722,11.40071,2022-01-27T09:42:06.510Z,0.001690909098351911
9,Fei USD,FEI,fei-usd,peggedUSD,algorithmic,12590780.012468334,1.002,0.0020000000000000018,12615961.572493272,156096.0,1.6,-39.28921,2023-04-23T10:41:30.842Z,0.398754,143.85662,2023-08-04T12:04:37.588Z,0.00010133586056429477
10,Magic Internet Money,MIM,magic-internet-money,peggedUSD,crypto-backed,48662231.8513192,0.99264,-0.007360000000000033,48304077.82489349,611964.0,1.041,-4.49478,2021-10-06T13:25:17.751Z,0.876409,13.44723,2023-03-11T08:02:51.714Z,0.0003879954189003503
11,Pax Dollar,USDP,paxos-standard,peggedUSD,fiat-backed,461755303.5206834,0.999351,-0.0006490000000000107,461455624.32869846,11850006.0,1.13,-11.25889,2018-10-15T07:09:12.459Z,0.863529,15.88622,2021-05-19T13:14:42.046Z,0.0037065746066901723
13,YUSD Stablecoin,YUSD,yusd-stablecoin,peggedUSD,crypto-backed,12258879.58773086,1.001,0.0009999999999998899,12271138.46731859,182.51,4.17,-75.99535,2023-04-23T12:46:10.492Z,0.83116,20.53451,2023-09-23T16:36:24.724Z,9.856611955767065e-05
14,USDD,USDD,usdd,peggedUSD,algorithmic,725332025.8422482,0.996641,-0.003359000000000001,722895635.5674441,21055500.0,1.052,-5.12734,2023-10-23T22:45:25.398Z,0.928067,7.52335,2022-06-19T16:15:11.558Z,0.005806553143608097
15,Dola,DOLA,dola-usd,peggedUSD,crypto-backed,45378769.40282992,0.996755,-0.0032450000000000534,45231515.29611774,517087.0,1.87,-46.19698,2021-11-13T13:09:22.404Z,0.400307,151.6192,2021-04-04T19:57:22.871Z,0.00036331551113414723
17,HUSD,HUSD,husd,peggedUSD,fiat-backed,222593860.49423522,0.05018,-0.94982,11169759.919600723,3086.98,1.25,-95.98681,2020-03-13T02:40:09.956Z,0.03532629,42.55106,2023-10-09T21:41:47.265Z,8.971945794581334e-05
19,Gemini Dollar,GUSD,gemini-dollar,peggedUSD,fiat-backed,158452751.19,0.999372,-0.0006279999999999619,158353242.86225268,846809.0,3.3,-69.70832,2018-10-11T17:36:21.529Z,0.78261,27.87927,2018-09-29T00:00:00.000Z,0.001271949192805113
20,Alchemix USD,ALUSD,alchemix-usd,peggedUSD,algorithmic,46786344.938208885,0.994582,-0.005418000000000034,46532856.521333665,30149.0,2.13,-53.18353,2021-03-21T19:53:32.860Z,0.060239,1553.32363,2021-03-19T22:40:28.697Z,0.00037376834361840057
21,flexUSD,FLEXUSD,flex-usd,peggedUSD,crypto-backed,166350245.33174843,0.147126,-0.852874,24474446.19467882,2.82,1.031,-85.64566,2022-01-01T00:00:00.000Z,0.126996,16.52016,2023-10-15T15:05:13.381Z,0.00019658739864742325
22,sUSD,SUSD,nusd,peggedUSD,crypto-backed,78909919.64608553,0.999314,-0.0006859999999999644,78855787.44120832,5375790.0,2.45,-59.23091,2020-02-18T03:23:56.261Z,0.429697,132.86913,2020-03-18T08:09:20.698Z,0.0006333975444450185
23,Origin Dollar,OUSD,origin-dollar,peggedUSD,crypto-backed,15286733.765236294,0.997103,-0.0028970000000000384,15242448.097518403,1078576.0,7.46,-86.63597,2021-05-18T18:43:44.666Z,0.145538,585.39178,2020-11-17T05:38:41.319Z,0.00012243272826990443
24,Celo Dollar,CUSD,celo-dollar,peggedUSD,algorithmic,37354477.51131671,1.002,0.0020000000000000018,37429186.46633934,228516.0,1.14,-12.21584,2021-09-10T07:19:08.038Z,0.886584,13.03902,2023-03-11T09:01:56.928Z,0.00030064444941380427
26,mStable USD,MUSD,musd,peggedUSD,crypto-backed,4350719.102510822,0.995084,-0.0049160000000000315,4329330.967402878,459.29,2.71,-63.26378,2022-07-25T07:15:35.139Z,0.472562,110.70505,2023-06-19T11:31:37.482Z,3.477471588102805e-05
27,USDK,USDK,usdk,peggedUSD,fiat-backed,488711.0,0.904384,-0.09561600000000003,441982.409024,3256.33,1.11,-13.51436,2021-01-30T17:56:55.243Z,0.607556,57.90599,2023-08-08T16:01:05.458Z,3.5501588614838854e-06
28,Vai,VAI,vai,peggedUSD,crypto-backed,4031625.24809764,0.999257,-0.0007430000000000492,4028629.750538303,64806.0,4.72,-78.98679,2023-03-20T08:39:41.885Z,0.579175,71.13754,2021-02-20T12:41:31.556Z,3.235937746955569e-05
29,TOR,TOR,tor,peggedUSD,crypto-backed,17070482.490329992,0.01091899,-0.98908101,186392.4276070883,3626.58,1.05,-98.95969,2022-03-06T10:39:33.324Z,0.01084869,0.70212,2023-11-10T20:20:20.203Z,1.4971698309080577e-06
31,SpiceUSD,USDS,spiceusd,peggedUSD,algorithmic,18047728.62691072,0.06225,-0.93775,1123471.1070251924,69.34,1.054,-94.05971,2022-09-04T02:33:51.481Z,0.062157,0.77034,2023-11-10T20:23:41.814Z,9.024116853505855e-06
32,Sperax USD,USDS,sperax-usd,peggedUSD,algorithmic,1170015.94285453,0.999251,-0.0007489999999999997,1169139.6009133318,107337.0,2.0,-50.13392,2022-12-01T08:47:39.621Z,0.885129,12.94432,2023-03-11T08:09:10.581Z,9.390942331075479e-06
33,USDP Stablecoin,USDP,usdp,peggedUSD,crypto-backed,2639837.640418563,0.952348,-0.04765200000000003,2514044.0971773374,995.93,1.41,-32.28626,2022-06-10T17:52:50.013Z,0.699723,36.10342,2022-04-13T12:52:19.889Z,2.0193690399272722e-05
34,USD Balance,USDB,usd-balance,peggedUSD,algorithmic,147529.41295504756,0.050152,-0.949848,7398.895118521546,55.94,1.14,-95.39263,2023-01-15T10:25:22.529Z,0.02573495,103.43791,2023-10-20T23:44:12.870Z,5.9430539618563855e-08
35,MAI,MAI,mimatic,peggedUSD,crypto-backed,14694906.693395078,0.764348,-0.23565199999999997,11232022.541283142,144862.0,1.35,-43.44504,2021-05-29T21:51:31.732Z,0.655895,16.7617,2023-10-30T02:44:25.051Z,9.021957332052513e-05
42,USDX,USDX,usdx,peggedUSD,crypto-backed,27285305.0,0.95384,-0.04615999999999998,26025815.321200002,261647.0,3.89,-75.45249,2020-11-21T11:14:14.148Z,0.100156,852.44193,2023-04-10T20:50:38.522Z,0.000209048543569715
43,ZUSD,ZUSD,zusd,peggedUSD,fiat-backed,19046764.557332,0.99344,-0.00656000000000001,18921817.781835902,198.69,5.02,-80.22639,2022-04-13T07:29:23.120Z,0.493968,101.11427,2022-07-18T23:36:56.931Z,0.00015198672549413705
44,dForce USD,USX,token-dforce-usd,peggedUSD,crypto-backed,32116514.001628306,0.999406,-0.0005939999999999834,32097436.79231134,3621.88,2.71,-63.08172,2022-09-12T07:44:30.756Z,0.331253,201.99893,2022-06-14T21:54:04.120Z,0.00025781795232704695
49,Euro Tether,EURT,tether-eurt,peggedEUR,fiat-backed,,1.067,,,3968793.0,1.31,-18.21595,2021-09-02T00:28:44.121Z,0.944541,13.18278,2022-09-27T16:30:27.333Z,
51,Stasis Euro,EURS,stasis-eurs,peggedEUR,fiat-backed,,1.064,,,1222275.0,1.79,-40.55268,2023-03-14T12:00:06.279Z,0.929636,14.66791,2022-11-10T13:44:54.149Z,
52,Celo Euro,CEUR,celo-euro,peggedEUR,algorithmic,,1.092,,,113773.0,19.98,-94.51516,2022-10-31T22:18:55.837Z,0.718383,52.54877,2022-06-24T09:53:15.611Z,
53,sEUR,SEUR,seur,peggedEUR,crypto-backed,,1.087,,,25412.0,1.86,-41.64898,2023-10-04T14:11:40.327Z,0.495637,119.29124,2022-06-27T08:25:23.769Z,
55,agEUR,AGEUR,ageur,peggedEUR,crypto-backed,,1.069,,,1374920.0,1.2,-10.86914,2022-02-07T07:32:13.679Z,0.640182,66.73783,2023-03-15T02:32:40.142Z,
56,Parallel,PAR,par-stablecoin,peggedEUR,crypto-backed,,1.063,,,120015.0,5.6,-83.05735,2023-05-29T09:51:15.002Z,0.698888,35.86027,2022-07-18T11:18:53.955Z,
67,Bean,BEAN,bean,peggedUSD,algorithmic,36903656.990464,0.997302,-0.002697999999999978,36804090.92390373,1111.94,4.65,-78.53142,2023-10-01T06:03:01.457Z,0.00103288,96650.88037,2022-06-22T20:43:19.021Z,0.00029562346117096373
71,Vesta Stable,VST,vesta-stable,peggedUSD,crypto-backed,1752682.0990698792,1.001,0.0009999999999998899,1754434.7811689489,7294.09,1.12,-10.40245,2023-01-04T09:34:53.086Z,0.869203,15.32653,2023-03-11T07:52:02.588Z,1.4092240003434778e-05
79,HAY,HAY,helio-protocol-hay,peggedUSD,crypto-backed,39222177.944189146,1.001,0.0009999999999998899,39261400.12213333,1064275.0,2.0,-49.98185,2022-08-25T12:10:21.873Z,0.208609,379.86012,2022-12-02T02:43:06.227Z,0.00031536143681747174
81,USK,USK,usk,peggedUSD,crypto-backed,2942547.21589,1.017,0.016999999999999904,2992570.5185601297,1689152.0,1.94,-47.29989,2022-11-06T22:08:24.148Z,0.8733,17.36362,2023-01-15T11:50:06.135Z,2.403738367900695e-05
84,BOB,BOB,bob,peggedUSD,crypto-backed,133152.91405594,0.997626,-0.0023739999999999872,132836.8090379712,3735.15,1.051,-4.72677,2022-09-19T14:29:47.704Z,0.872719,14.69471,2023-03-11T08:19:43.904Z,1.0669921813829207e-06
93,Djed StableCoin,DJED,djed,peggedUSD,crypto-backed,3808647.1796875,1.019,0.018999999999999906,3881011.476101562,257274.0,1.26,-19.44916,2023-07-13T17:36:19.552Z,0.128663,686.30993,2023-03-01T13:50:30.768Z,3.1173655335804206e-05
96,Coin98 Dollar,CUSD,coin98-dollar,peggedUSD,crypto-backed,313935.2019461069,0.838038,-0.16196200000000005,263089.6287685115,811.84,1.21,-30.76324,2023-10-28T05:23:59.718Z,0.446195,88.47371,2023-10-09T14:03:20.658Z,2.1132288477261987e-06
101,Monerium EUR emoney,EURE,monerium-eur-money,peggedEUR,fiat-backed,,1.063,,,59034.0,1.19,-11.06338,2023-07-27T06:18:54.954Z,0.951958,11.61234,2022-09-06T17:31:09.870Z,
109,eUSD,EUSD,eusd-27a558b0-8b5b-4225-a614-63539da936f4,peggedUSD,crypto-backed,11547553.56939844,1.072,0.07200000000000006,12378977.42639513,9556.74,1.33,-19.64245,2023-06-16T22:52:47.254Z,0.961065,11.58552,2023-05-22T06:09:15.623Z,9.943232017643325e-05
110,crvUSD,crvUSD,crvusd,peggedUSD,crypto-backed,145573625.83937812,0.997381,-0.002619000000000038,145192368.51330477,55188474.0,1.029,-3.04553,2023-10-23T22:45:35.122Z,0.949016,5.1089,2023-08-08T06:24:06.210Z,0.0011662364003028752
115,R,R,r,peggedUSD,crypto-backed,12807044.682735069,0.722518,-0.277482,9253320.310080376,3566942.0,1.037,-34.20604,2023-06-05T08:42:00.745Z,0.178692,281.92573,2023-11-10T20:04:32.533Z,7.432593792482097e-05
118,GHO,GHO,gho,peggedUSD,crypto-backed,32267959.323592328,0.961785,-0.038215,31034839.258041248,2358271.0,1.013,-5.02741,2023-07-15T15:23:46.229Z,0.917065,4.85709,2023-10-24T04:41:04.568Z,0.00024928279351651826
119,First Digital USD,FDUSD,first-digital-usd,peggedUSD,fiat-backed,682387470.77,0.999449,-0.0005509999999999682,682011475.2736057,277403201.0,1.041,-3.88115,2023-10-23T22:55:15.103Z,0.942129,6.24114,2023-08-17T21:55:41.478Z,0.00547815712377099
120,PayPal USD,PYUSD,paypal-usd,peggedUSD,fiat-backed,114648487.69752699,1.0,0.0,114648487.69752699,5020267.0,1.021,-1.95815,2023-10-23T22:44:57.056Z,0.979769,2.14136,2023-08-25T16:10:42.670Z,0.0009208971584500327
122,GYEN,GYEN,gyen,peggedJPY,fiat-backed,,0.00664205,,,30907.0,0.060753,-89.06,2021-11-17T16:38:28.459Z,0.00638442,4.10327,2023-06-27T12:53:41.724Z,
